



94444.57,1933.30,32.68,0.55,9.60,1.39,-0.02,0.01,-0.01,0.000000,0.000000
94444.42,1933.34,32.66,0.60,9.50,1.45,-0.02,0.01,-0.01,0.000000,0.000000
94443.73,1933.54,32.66,0.53,9.62,1.27,0.00,0.01,-0.01,0.000000,0.000000
94444.41,1933.34,32.66,0.54,9.57,1.44,-0.01,0.01,-0.01,0.000000,0.000000
94444.41,1933.34,32.66,0.49,9.56,1.34,-0.01,0.01,-0.01,0.000000,0.000000
94442.03,1934.03,32.66,0.49,9.61,1.31,-0.01,0.01,-0.01,0.000000,0.000000
94443.39,1933.64,32.66,0.58,9.52,1.46,-0.01,0.01,-0.02,0.000000,0.000000
94443.56,1933.59,32.66,0.53,9.55,1.40,-0.01,0.01,-0.01,0.000000,0.000000
94442.37,1933.93,32.66,0.57,9.50,1.44,-0.05,0.01,-0.02,0.000000,0.000000
94441.86,1934.08,32.66,0.56,9.49,1.37,-0.05,0.01,-0.02,0.000000,0.000000
94443.05,1933.73,32.66,0.48,9.53,1.56,0.01,0.01,-0.01,0.000000,0.000000
94443.72,1933.54,32.67,0.54,9.60,1.41,-0.04,0.01,-0.01,0.000000,0.000000
94443.22,1933.69,32.66,0.57,9.50,1.51,0.01,0.01,-0.01,0.000000,0.000000
94444.91,1933.20,32.67,0.47,9.48,1.56,-0.01,0.01,-0.01,0.000000,0.000000
94443.22,1933.69,32.67,0.55,9.54,1.41,0.02,0.01,-0.01,0.000000,0.000000
94441.52,1934.18,32.66,0.51,9.51,1.58,0.05,0.01,-0.01,0.000000,0.000000
94443.22,1933.69,32.67,0.51,9.53,1.44,0.02,0.01,-0.01,0.000000,0.000000
94443.89,1933.49,32.67,0.54,9.58,1.30,-0.03,0.01,-0.01,0.000000,0.000000
94442.70,1933.84,32.67,0.57,9.50,1.55,-0.03,0.01,-0.02,0.000000,0.000000
94442.53,1933.89,32.67,0.54,9.55,1.47,-0.02,0.01,-0.01,0.000000,0.000000
94442.19,1933.98,32.67,0.50,9.54,1.43,0.02,0.01,-0.01,0.000000,0.000000
94443.04,1933.74,32.67,0.57,9.49,1.43,0.04,0.01,-0.01,0.000000,0.000000
94443.38,1933.64,32.67,0.49,9.54,1.39,0.01,0.01,-0.01,0.000000,0.000000
94444.74,1933.25,32.67,0.50,9.55,1.45,-0.01,0.01,-0.01,0.000000,0.000000
94443.05,1933.74,32.67,0.53,9.56,1.40,-0.01,0.00,-0.01,0.000000,0.000000
94442.70,1933.84,32.67,0.57,9.56,1.42,0.01,0.01,-0.01,0.000000,0.000000
94442.69,1933.84,32.67,0.57,9.49,1.45,-0.01,0.01,-0.01,0.000000,0.000000




94273.42,1982.82,32.74,9.33,-0.59,-0.69,-0.00,0.01,-0.01,0.000000,0.000000
94272.41,1983.11,32.73,9.36,-0.62,-0.62,0.00,0.01,-0.01,0.000000,0.000000
94268.19,1984.34,32.71,9.37,-0.55,-0.52,0.00,0.01,-0.01,0.000000,0.000000
94264.95,1985.27,32.71,9.34,-0.56,-0.63,-0.00,0.01,-0.02,0.000000,0.000000
94263.25,1985.77,32.71,9.34,-0.58,-0.61,-0.00,0.01,-0.02,0.000000,0.000000
94267.84,1984.43,32.71,9.31,-0.61,-0.54,0.00,0.01,-0.02,0.000000,0.000000
94267.50,1984.54,32.71,9.29,-0.48,-0.61,-0.00,0.01,-0.01,0.000000,0.000000
